vehicle_age,km_driven,mileage,engine,seats,selling_price,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual,brand_encoded,model_encoded
0.9835618345823353,1.247334733762358,-0.0002759746211013263,-1.3242588251442713,5,120000,0.0,0.0,0.0,1.0,1.0,4992,778
-0.34393330983544934,-0.6900162311764731,-0.19207055797138212,-0.5547177423199448,5,550000,0.0,0.0,0.0,1.0,1.0,2982,580
1.6473094067912277,0.08492415479905924,-0.6475826934282982,-0.5547177423199448,5,215000,0.0,0.0,0.0,1.0,1.0,2982,906
0.9835618345823353,-0.3606665671368719,0.2922107649880772,-0.936609701128027,5,226000,0.0,0.0,0.0,1.0,1.0,4992,778
-0.01205952373100319,-0.49628113468259005,0.7357357389856006,0.02291783356564712,5,570000,1.0,0.0,0.0,0.0,1.0,790,374
0.6516880484778892,-0.3994135864356485,-0.19207055797138212,-0.936609701128027,5,350000,0.0,0.0,0.0,1.0,1.0,4992,717
0.6516880484778892,-0.30254603818870696,0.15795455664288022,-0.5547177423199448,5,315000,0.0,0.0,0.0,1.0,1.0,2982,410
-1.0076808820443417,-0.7382175231841512,0.19391604102105833,-0.936609701128027,5,410000,0.0,0.0,0.0,1.0,1.0,4992,717
-1.3395546681487878,-0.6900162311764731,-0.37187797986227017,-0.936609701128027,5,1050000,0.0,0.0,0.0,1.0,0.0,2982,58
-0.6758070959398955,-0.528809257383913,-0.7434799851034382,-0.5547177423199448,5,511000,0.0,0.0,0.0,1.0,1.0,4992,781
0.6516880484778892,0.18717753872853074,0.627851285851068,0.18411845939418436,5,425000,1.0,0.0,0.0,0.0,1.0,2982,492
-0.34393330983544934,-0.10881094169482386,-0.014660568372372066,-0.048087204001684765,5,750000,1.0,0.0,0.0,0.0,1.0,536,218
-0.6758070959398955,-0.9612453662679095,-1.2685176570248318,0.9824453682593213,5,3250000,0.0,0.0,0.0,1.0,0.0,17,17
-0.34393330983544934,0.3949003091892722,2.011169718264967,-0.45684593378118993,5,650000,1.0,0.0,0.0,0.0,1.0,4992,346
-0.34393330983544934,-0.6900162311764731,1.3183117859120779,-0.45684593378118993,5,627000,1.0,0.0,0.0,0.0,1.0,4992,781
